SidoName,SggName,DisQuantityAvg,Time
서울특별시,종로구,1842.3029556650247,20180101
서울특별시,종로구,1715.2923976608188,20180102
서울특별시,종로구,1638.2843791722296,20180103
서울특별시,종로구,1669.4223107569721,20180104
서울특별시,종로구,1613.61071932299,20180105
서울특별시,종로구,1625.8158085569253,20180106
서울특별시,종로구,1740.9321496512366,20180107
서울특별시,종로구,1775.0879249706916,20180108
서울특별시,종로구,1662.2841965471448,20180109
서울특별시,종로구,1504.6662125340602,20180110
서울특별시,종로구,1550.381388253242,20180111
서울특별시,종로구,1638.6840202458427,20180112
서울특별시,종로구,1726.526315789474,20180113
서울특별시,종로구,1731.3575525812619,20180114
서울특별시,종로구,1682.5424721734037,20180115
서울특별시,종로구,1670.052596975674,20180116
서울특별시,종로구,1599.7688243064729,20180117
서울특별시,종로구,1597.1205962059619,20180118
서울특별시,종로구,1547.6953907815632,20180119
서울특별시,종로구,1627.6091783863806,20180120
서울특별시,종로구,1727.1320277953253,20180121
서울특별시,종로구,1701.50955021565,20180122
서울특별시,종로구,1616.022487702038,20180123
서울특별시,종로구,1674.5782208588955,20180124
서울특별시,종로구,1617.6201372997712,20180125
서울특별시,종로구,1606.8525896414344,20180126
서울특별시,종로구,1691.226708074534,20180127
서울특별시,종로구,1753.8722826086953,20180128
서울특별시,종로구,1651.6501650165014,20180129
서울특별시,종로구,1650.8765522279034,20180130
서울특별시,종로구,1601.410437235543,20180131
서울특별시,중구,1585.1089266737513,20180101
서울특별시,중구,1512.751577050165,20180102
서울특별시,중구,1457.2155117609666,20180103
서울특별시,중구,1422.7702489757328,20180104
서울특별시,중구,1435.945351758794,20180105
서울특별시,중구,1517.7394983378665,20180106
서울특별시,중구,1540.7795572303344,20180107
서울특별시,중구,1511.7081754195997,20180108
서울특별시,중구,1415.2795838751624,20180109
서울특별시,중구,1384.6271705822269,20180110
서울특별시,중구,1405.5179779280884,20180111
서울특별시,중구,1419.269949066214,20180112
서울특별시,중구,1522.5273058252426,20180113
서울특별시,중구,1524.130702836005,20180114
서울특별시,중구,1477.1859026096313,20180115
서울특별시,중구,1438.3074935400516,20180116
서울특별시,중구,1374.4254658385096,20180117
서울특별시,중구,1428.8684719535786,20180118
서울특별시,중구,1409.5324833029752,20180119
서울특별시,중구,1483.6281812538793,20180120
서울특별시,중구,1482.2330791229742,20180121
서울특별시,중구,1458.7254063301968,20180122
서울특별시,중구,1431.3632930513595,20180123
서울특별시,중구,1362.0875179340028,20180124
서울특별시,중구,1400.1426533523538,20180125
서울특별시,중구,1444.6363636363635,20180126
서울특별시,중구,1528.470698840489,20180127
서울특별시,중구,1593.8903394255874,20180128
서울특별시,중구,1491.6843380793698,20180129
서울특별시,중구,1473.5304532577904,20180130
서울특별시,중구,1433.7194127243067,20180131
서울특별시,용산구,1408.1699346405228,20180101
서울특별시,용산구,1198.159509202454,20180102
서울특별시,용산구,1470.1492537313434,20180103
서울특별시,용산구,1232.258064516129,20180104
서울특별시,용산구,1136.607142857143,20180105
서울특별시,용산구,1506.985294117647,20180106
서울특별시,용산구,1456.3953488372092,20180107
서울특별시,용산구,1166.0714285714287,20180108
서울특별시,용산구,1499.0445859872614,20180109
서울특별시,용산구,1325.0,20180110
서울특별시,용산구,1346.0176991150445,20180111
서울특별시,용산구,1290.8333333333333,20180112
서울특별시,용산구,1353.7190082644631,20180113
서울특별시,용산구,1591.7910447761194,20180114
서울특별시,용산구,1552.536231884058,20180115
서울특별시,용산구,1259.090909090909,20180116
서울특별시,용산구,1312.857142857143,20180117
서울특별시,용산구,984.0336134453779,20180118
서울특별시,용산구,1288.5826771653544,20180119
서울특별시,용산구,1299.5867768595042,20180120
서울특별시,용산구,1465.3846153846155,20180121
서울특별시,용산구,1309.1911764705885,20180122
서울특별시,용산구,1211.392405063291,20180123
서울특별시,용산구,1228.6585365853662,20180124
서울특별시,용산구,1292.7272727272727,20180125
서울특별시,용산구,1047.5728155339805,20180126
서울특별시,용산구,1625.1908396946565,20180127
서울특별시,용산구,1177.7397260273974,20180128
서울특별시,용산구,1247.8070175438595,20180129
서울특별시,용산구,1388.0,20180130
서울특별시,용산구,1398.1818181818182,20180131
서울특별시,성동구,1663.6310452418095,20180101
서울특별시,성동구,1651.1782231852656,20180102
서울특별시,성동구,1570.5619233994971,20180103
서울특별시,성동구,1530.9984242945136,20180104
서울특별시,성동구,1514.5459931861947,20180105
서울특별시,성동구,1575.3384615384616,20180106
서울특별시,성동구,1645.1941803184784,20180107
서울특별시,성동구,1596.6901860166774,20180108
서울특별시,성동구,1517.6297525648763,20180109
서울특별시,성동구,1479.35422182995,20180110
서울특별시,성동구,1496.4956590370957,20180111
서울특별시,성동구,1514.2092651757187,20180112
서울특별시,성동구,1604.0551058530511,20180113
서울특별시,성동구,1654.801927824145,20180114
서울특별시,성동구,1612.9328299921897,20180115
서울특별시,성동구,1528.065787479157,20180116
서울특별시,성동구,1517.9677733018475,20180117
서울특별시,성동구,1507.2470044752413,20180118
서울특별시,성동구,1455.1115648242674,20180119
서울특별시,성동구,1557.810772389828,20180120
서울특별시,성동구,1611.4214913268756,20180121
서울특별시,성동구,1563.4875153499795,20180122
서울특별시,성동구,1481.7541505953382,20180123
서울특별시,성동구,1516.8241811960238,20180124
서울특별시,성동구,1522.3340673167663,20180125
서울특별시,성동구,1507.9945568974317,20180126
서울특별시,성동구,1603.1592949783835,20180127
서울특별시,성동구,1666.3988487828274,20180128
서울특별시,성동구,1609.7463768115942,20180129
서울특별시,성동구,1515.5284552845526,20180130
