,SidoName,SggName,CityCode,AptName,AptCode
111,서울특별시,성동구,W04,마장sh-ville(임대)(BM),W04024
112,서울특별시,성동구,W04,청구강변,W04028
113,서울특별시,성동구,W04,강변건영,W04029
114,서울특별시,성동구,W04,성수우방,W04030
115,서울특별시,성동구,W04,서울숲 아이파크(BM),W04031
116,서울특별시,성동구,W04,응봉대림 1차(BM),W04032
117,서울특별시,성동구,W04,서울숲푸르지오1차,W04033
118,서울특별시,성동구,W04,신금호두산위브(BM),W04035
119,서울특별시,성동구,W04,금강아미움(BM),W04036
120,서울특별시,성동구,W04,e편한세상옥수파크힐스1단지,W04037
121,서울특별시,성동구,W04,e편한세상옥수파크힐스2단지,W04038
122,서울특별시,성동구,W04,센트라스 아파트(BM),W04039
123,서울특별시,성동구,W04,센트라스 오피스텔(BM),W0403A
124,서울특별시,성동구,W04,대명루첸아파트,W04040
125,서울특별시,성동구,W04,서울숲힐스테이트,W04041
126,서울특별시,성동구,W04,성수현대아파트,W04042
127,서울특별시,성동구,W04,성수2차대우아파트,W04043
128,서울특별시,성동구,W04,송정건영아파트,W04044
129,서울특별시,성동구,W04,응봉대림강변타운,W04045
130,서울특별시,성동구,W04,래미안하이리버아파트,W04046
131,서울특별시,성동구,W04,금호자이1차아파트,W04047
132,서울특별시,성동구,W04,옥수하이츠아파트,W04048
133,서울특별시,성동구,W04,마장신성미소지움(BM),W04049
134,서울특별시,성동구,W04,마장동현대(BM),W0404A
135,서울특별시,성동구,W04,행당두산위브(BM),W0404B
136,서울특별시,성동구,W04,서울숲 더샵(BM),W0404C
137,서울특별시,성동구,W04,행당한진타운(BM),W0404D
138,서울특별시,성동구,W04,성수현대아이파크,W04050
139,서울특별시,성동구,W04,왕십리자이(BM),W04051
140,서울특별시,성동구,W04,마장중앙하이츠(BM),W04052
141,서울특별시,성동구,W04,힐스테이트 서울숲 리버,W04053
142,서울특별시,성동구,W04,e편한세상금호파크힐스(ki),W04054
143,서울특별시,성동구,W04,서울숲리버뷰자이(BM),W04055
144,서울특별시,성동구,W04,브라운스톤금호아파트,W04056
145,서울특별시,성동구,W04,텐즈힐1단지 임대아파트,W04057
146,서울특별시,성동구,W04,래미안하이리버아파트,W04058
147,서울특별시,성동구,W04,성수현대그린아파트,W04059
148,서울특별시,성동구,W04,사근하이츠아파트,W0405A
149,서울특별시,성동구,W04,하왕금호베스트빌,W0405B
150,서울특별시,성동구,W04,한양현대아파트,W0405C
151,서울특별시,성동구,W04,옥수강변풍림아이원아파트,W0405D
152,서울특별시,성동구,W04,금호1차푸르지오아파트,W0405E
153,서울특별시,성동구,W04,하왕극동미라주아파트,W0405F
154,서울특별시,성동구,W04,금호대우아파트,W04060
155,서울특별시,성동구,W04,성동안심빌딩(BM),W04061
156,서울특별시,성동구,W04,해당없음,W04FFF
157,서울특별시,광진구,W05,광장현대홈타운12차,W05001
158,서울특별시,광진구,W05,구의동 현대 7단지,W05002
159,서울특별시,광진구,W05,자양 4동 한강현대,W05003
160,서울특별시,광진구,W05,구의대림아크로리버,W05004
161,서울특별시,광진구,W05,우방리버파크,W05005
162,서울특별시,광진구,W05,현대13차폴라트리움,W05006
163,서울특별시,광진구,W05,광장현대5단지,W05007
164,서울특별시,광진구,W05,광장현대8단지,W05008
165,서울특별시,광진구,W05,광장현대파크빌,W05009
166,서울특별시,광진구,W05,구의현대홈시티,W0500A
167,서울특별시,광진구,W05,한솔리베르,W0500B
168,서울특별시,광진구,W05,아차산 휴먼시아(BM),W0500C
169,서울특별시,광진구,W05,자양동 삼성(BM),W0500D
170,서울특별시,광진구,W05,청구(BM),W0500E
171,서울특별시,광진구,W05,광나루 현대(BM),W0500F
172,서울특별시,광진구,W05,강변파크빌(BM),W05010
173,서울특별시,광진구,W05,자양경남아파트(BM),W05014
174,서울특별시,광진구,W05,신향빌라(BM),W05015
175,서울특별시,광진구,W05,광장11차 현대홈타운(BM),W05016
176,서울특별시,광진구,W05,자양9차 현대홈타운(BM),W05017
177,서울특별시,광진구,W05,강변아이파크(BM),W05018
178,서울특별시,광진구,W05,광진한화 꿈에그린아파트(BM),W05019
179,서울특별시,광진구,W05,광장현대3단지,W05020
180,서울특별시,광진구,W05,자양2차우성아파트,W05021
181,서울특별시,광진구,W05,아지0213오피스텔,W05022
182,서울특별시,광진구,W05,금호 베스트빌(BM),W05023
183,서울특별시,광진구,W05,로얄동아아파트(BM),W05024
184,서울특별시,광진구,W05,구의현대6단지,W05025
185,서울특별시,광진구,W05,이튼타워리버2차,W05026
186,서울특별시,광진구,W05,광진하나플러스아파트,W05027
187,서울특별시,광진구,W05,구의동새한아파트,W05028
188,서울특별시,광진구,W05,자양동 우성7차(BM),W05029
189,서울특별시,광진구,W05,자양현대3차아파트,W05030
190,서울특별시,광진구,W05,한영해시안아파트,W05031
191,서울특별시,광진구,W05,신동아파밀리에,W05032
192,서울특별시,광진구,W05,세인트힐빌리지,W05033
193,서울특별시,광진구,W05,극동2차아파트,W05034
194,서울특별시,광진구,W05,일성파크(BM),W05035
195,서울특별시,광진구,W05,광장자이(BM),W05037
196,서울특별시,광진구,W05,주성힐스톤아파트(JH),W05039
197,서울특별시,광진구,W05,비잔티움오피스텔(JH),W05040
198,서울특별시,광진구,W05,강변SK뷰(JH),W05041
199,서울특별시,광진구,W05,워커힐푸르지오(BM),W05042
200,서울특별시,광진구,W05,대원캐슬빌(BM),W05043
201,서울특별시,광진구,W05,파랑새빌라(BM),W05044
202,서울특별시,광진구,W05,그린아파트(BM),W05045
203,서울특별시,광진구,W05,삼민아파트(BM),W05046
204,서울특별시,광진구,W05,첼시하우스(BM),W05047
205,서울특별시,광진구,W05,랜드마크(BM),W05048
206,서울특별시,광진구,W05,블루스카이(BM),W0504A
207,서울특별시,광진구,W05,용마홈타운(BM),W0504B
208,서울특별시,광진구,W05,해담은(BM),W0504C
209,서울특별시,광진구,W05,현진에코빌(BM),W0504D
210,서울특별시,광진구,W05,용마드림하우스(BM),W0504E
211,서울특별시,광진구,W05,정인빌(BM),W0504F
212,서울특별시,광진구,W05,대농연립(BM),W05050
213,서울특별시,광진구,W05,동화빌라(BM),W05051
214,서울특별시,광진구,W05,한양팰리스(BM),W05052
215,서울특별시,광진구,W05,극동빌라(BM),W05053
216,서울특별시,광진구,W05,진보아트(BM),W05054
217,서울특별시,광진구,W05,신성그랜드(BM),W05055
218,서울특별시,광진구,W05,한울채(BM),W05056
219,서울특별시,광진구,W05,넥스젠파크뷰(BM),W05057
220,서울특별시,광진구,W05,연세리버빌6차(BM),W05058
221,서울특별시,광진구,W05,메이저빌(BM),W05059
222,서울특별시,광진구,W05,주성아우라(BM),W0505A
223,서울특별시,광진구,W05,세종에버그린(BM),W0505B
224,서울특별시,광진구,W05,기분좋은집(BM),W0505C
225,서울특별시,광진구,W05,포시즌파크(BM),W0505D
226,서울특별시,광진구,W05,대영아파트(BM),W0505E
