SidoName,SggName,AptName,DisQuantityAvg,Time
경기도,수원시,송죽-로얄팰리스,1603.883495145631,20180125
경기도,수원시,송죽-로얄팰리스,1933.8383838383838,20180126
경기도,수원시,송죽-로얄팰리스,1855.6737588652481,20180127
경기도,수원시,송죽-로얄팰리스,1923.2044198895028,20180128
경기도,수원시,송죽-로얄팰리스,1762.0535714285713,20180129
경기도,수원시,송죽-로얄팰리스,1467.982456140351,20180130
경기도,수원시,송죽-로얄팰리스,1561.6379310344828,20180131
경기도,수원시,송죽-수원영광,1588.095238095238,20180101
경기도,수원시,송죽-수원영광,1420.0,20180102
경기도,수원시,송죽-수원영광,1483.3333333333333,20180103
경기도,수원시,송죽-수원영광,1486.5853658536585,20180104
경기도,수원시,송죽-수원영광,1406.5217391304348,20180105
경기도,수원시,송죽-수원영광,1372.5,20180106
경기도,수원시,송죽-수원영광,1816.3636363636363,20180107
경기도,수원시,송죽-수원영광,1529.4871794871794,20180108
경기도,수원시,송죽-수원영광,1155.5555555555557,20180109
경기도,수원시,송죽-수원영광,1481.25,20180110
경기도,수원시,송죽-수원영광,1553.9473684210527,20180111
경기도,수원시,송죽-수원영광,1380.0,20180112
경기도,수원시,송죽-수원영광,1618.9655172413793,20180113
경기도,수원시,송죽-수원영광,1961.0,20180114
경기도,수원시,송죽-수원영광,1440.2777777777778,20180115
경기도,수원시,송죽-수원영광,1683.3333333333333,20180116
경기도,수원시,송죽-수원영광,1157.142857142857,20180117
경기도,수원시,송죽-수원영광,1876.7441860465117,20180118
경기도,수원시,송죽-수원영광,1431.25,20180119
경기도,수원시,송죽-수원영광,2006.9444444444443,20180120
경기도,수원시,송죽-수원영광,1865.7142857142858,20180121
경기도,수원시,송죽-수원영광,1302.6315789473683,20180122
경기도,수원시,송죽-수원영광,1664.7058823529412,20180123
경기도,수원시,송죽-수원영광,1618.75,20180124
경기도,수원시,송죽-수원영광,1291.6666666666667,20180125
경기도,수원시,송죽-수원영광,1597.5,20180126
경기도,수원시,송죽-수원영광,1504.7619047619048,20180127
경기도,수원시,송죽-수원영광,1427.906976744186,20180128
경기도,수원시,송죽-수원영광,1722.2222222222222,20180129
경기도,수원시,송죽-수원영광,2128.3783783783783,20180130
경기도,수원시,송죽-수원영광,1323.5294117647059,20180131
경기도,수원시,연무-성원,1779.032258064516,20180101
경기도,수원시,연무-성원,1309.5238095238096,20180102
경기도,수원시,연무-성원,1150.0,20180103
